bird_name,date,speed_2d
Eric,2013-08-15,2.1215165136192446
Eric,2013-08-16,2.618113081313427
Eric,2013-08-17,1.765808635951909
Eric,2013-08-18,2.951171383412678
Eric,2013-08-19,2.4355452423839
Eric,2013-08-20,1.8307957503872732
Eric,2013-08-21,2.5448956892219994
Eric,2013-08-22,1.5216306640773267
Eric,2013-08-23,1.6142628478433425
Eric,2013-08-24,1.489674092563865
Eric,2013-08-25,2.011455933756269
Eric,2013-08-26,1.7235403313014626
Eric,2013-08-27,1.5375248000516857
Eric,2013-08-28,2.092783308156515
Eric,2013-08-29,2.0083117040103646
Eric,2013-08-30,2.6593257817926634
Eric,2013-08-31,2.326942785131613
Eric,2013-09-01,2.6460583474992787
Eric,2013-09-02,2.929891355477105
Eric,2013-09-03,1.9340127670361196
Eric,2013-09-04,2.286683126940028
Eric,2013-09-05,1.6418055618269853
Eric,2013-09-06,1.7488957703674604
Eric,2013-09-07,2.9733754114149913
Eric,2013-09-08,1.8865000092608328
Eric,2013-09-09,1.3496436666378244
Eric,2013-09-10,2.0046862446522824
Eric,2013-09-11,2.6917308197933973
Eric,2013-09-12,2.2457519574666343
Eric,2013-09-13,1.9907131521094719
Eric,2013-09-14,2.8184104678494957
Eric,2013-09-15,1.9648724928018875
Eric,2013-09-16,1.7473455016902253
Eric,2013-09-17,1.942974530815897
Eric,2013-09-18,1.5859479167649535
Eric,2013-09-19,2.0851354939403106
Eric,2013-09-20,2.0984532135712
Eric,2013-09-21,2.054774454836159
Eric,2013-09-22,1.7416986986440057
Eric,2013-09-23,2.537217387619551
Eric,2013-09-24,1.9983680723879023
Eric,2013-09-25,2.49346608350902
Eric,2013-09-26,2.310720739177418
Eric,2013-09-27,2.145956515085905
Eric,2013-09-28,1.6770431102856374
Eric,2013-09-29,3.2140093395467018
Eric,2013-09-30,2.287128506826099
Eric,2013-10-01,2.4120746711708896
Eric,2013-10-02,1.8367818449317306
Eric,2013-10-03,2.6118735722207216
Eric,2013-10-04,2.24695653990276
Eric,2013-10-05,2.271349497016704
Eric,2013-10-06,3.0732418972259445
Eric,2013-10-07,2.0978370606658046
Eric,2013-10-08,1.784778987495719
Eric,2013-10-09,1.9816247367651851
Eric,2013-10-10,2.6648073247209663
Eric,2013-10-11,2.4915405882352535
Eric,2013-10-12,1.4411051658552918
Eric,2013-10-13,1.5473745248017698
Eric,2013-10-14,1.7808522260433053
Eric,2013-10-15,2.235816472518425
Eric,2013-10-16,1.6113538118896336
Eric,2013-10-17,2.354664941925937
Eric,2013-10-18,1.6601033419954596
Eric,2013-10-19,2.5962654113864927
Eric,2013-10-20,2.0074525638781546
Eric,2013-10-21,1.709711690877592
Eric,2013-10-22,2.316805852524434
Eric,2013-10-23,1.4687424910340856
Eric,2013-10-24,1.7000021998501584
Eric,2013-10-25,1.5604804290910925
Eric,2013-10-26,1.3301949946806237
Eric,2013-10-30,1.5007265135136256
Eric,2013-10-31,2.182815329286109
Eric,2013-11-01,1.7481928389991126
Eric,2013-11-02,1.956807129989882
Eric,2013-11-03,2.339724862407574
Eric,2013-11-04,2.0881477315901034
Eric,2013-11-05,2.660721262050235
Eric,2013-11-10,4.525695566189748
Eric,2013-11-11,1.7928151669979746
Eric,2013-11-12,3.113689064429633
Eric,2013-11-13,2.157858769474231
Eric,2013-11-14,2.0845304995205924
Eric,2013-11-15,8.937917596042332
Eric,2013-11-16,8.886389670011166
Eric,2013-11-17,5.912662808768446
Eric,2013-11-18,4.158698061615828
Eric,2013-11-19,2.9275965986044454
Eric,2013-11-20,2.041635216185689
Eric,2013-11-21,1.851120191813051
Eric,2013-11-22,2.241157582948383
Eric,2013-11-23,2.6784577851961107
Eric,2013-11-24,2.9994752018859114
Eric,2013-11-25,3.3037620910188843
Eric,2013-11-26,1.9086026946201684
Eric,2013-11-27,1.7626028249616366
Eric,2013-11-28,1.3547672772186239
Eric,2013-11-29,1.9446095109202868
Eric,2013-11-30,1.8763526138814277
Eric,2013-12-01,2.3619090245313767
Eric,2013-12-02,1.9394203063299273
Eric,2013-12-03,1.701380934358392
Eric,2013-12-04,2.1829646795715605
Eric,2013-12-05,1.8906286860478663
Eric,2013-12-06,3.507064078837361
Eric,2013-12-07,2.04864228735003
Eric,2013-12-08,2.015054626458423
Eric,2013-12-09,2.2598714206890063
Eric,2013-12-10,2.099788255637224
Eric,2013-12-11,1.8297865599998913
Eric,2013-12-12,2.3712216023903645
Eric,2013-12-13,1.6826627284059437
Eric,2013-12-14,2.353266268544649
Eric,2013-12-15,2.205861307293266
Eric,2013-12-16,1.799037487860387
Eric,2013-12-17,2.4630495081289023
Eric,2013-12-18,2.076534304136394
Eric,2013-12-19,2.160575140723997
Eric,2013-12-20,1.800287005329597
Eric,2013-12-21,1.8630082805802044
Eric,2013-12-22,1.985885085577919
Eric,2013-12-23,1.964258349863023
Eric,2013-12-24,1.66567338391294
Eric,2013-12-25,2.2609855129155116
Eric,2013-12-26,1.7805584382041408
Eric,2013-12-27,2.281204581141262
Eric,2013-12-28,1.993190236655918
Eric,2013-12-29,1.4632728292577404
Eric,2013-12-30,2.4250545188247283
Eric,2013-12-31,2.4146952546309928
Eric,2014-01-01,1.9481964880784994
Eric,2014-01-02,2.1420491591331428
Eric,2014-01-03,1.4419113283015896
Eric,2014-01-04,2.1647644561594004
Eric,2014-01-05,2.4852921164210646
Eric,2014-01-06,2.155100817752842
Eric,2014-01-07,2.4493137697603364
Eric,2014-01-08,1.9005526232857046
Eric,2014-01-09,1.856281817199924
Eric,2014-01-10,2.1364779394372464
