date,altitude
2013-08-15,74.98809523809524
2013-08-16,127.77380952380952
2013-08-17,125.89024390243902
2013-08-18,121.35365853658537
2013-08-19,134.92857142857142
2013-08-20,101.79268292682927
2013-08-21,160.51807228915663
2013-08-22,99.67469879518072
2013-08-23,122.71084337349397
2013-08-24,119.67469879518072
2013-08-25,108.5
2013-08-26,77.10714285714286
2013-08-27,108.80952380952381
2013-08-28,134.46428571428572
2013-08-29,138.17283950617283
2013-08-30,131.22619047619048
2013-08-31,63.166666666666664
2013-09-01,106.76543209876543
2013-09-02,106.97590361445783
2013-09-03,145.35365853658536
2013-09-04,129.25301204819277
2013-09-05,112.38095238095238
2013-09-06,123.95238095238095
2013-09-07,120.32530120481928
2013-09-08,112.70238095238095
2013-09-09,144.06024096385542
2013-09-10,121.78571428571429
2013-09-11,120.21428571428571
2013-09-12,135.9156626506024
2013-09-13,121.04761904761905
2013-09-14,105.79518072289157
2013-09-15,118.24096385542168
2013-09-16,120.6547619047619
2013-09-17,123.52380952380952
2013-09-18,111.60240963855422
2013-09-19,111.6547619047619
2013-09-20,127.23809523809524
2013-09-21,150.71428571428572
2013-09-22,106.25301204819277
2013-09-23,125.60714285714286
2013-09-24,126.66666666666667
2013-09-25,126.4125
2013-09-26,123.80722891566265
2013-09-27,116.6987951807229
2013-09-28,120.0125
2013-09-29,141.3780487804878
2013-09-30,80.79761904761905
2013-10-01,111.46428571428571
2013-10-02,123.76829268292683
2013-10-03,123.60240963855422
2013-10-04,139.97560975609755
2013-10-05,122.98780487804878
2013-10-06,128.76190476190476
2013-10-07,107.1566265060241
2013-10-08,95.34939759036145
2013-10-09,80.29629629629629
2013-10-10,118.49382716049382
2013-10-11,106.9047619047619
2013-10-12,81.93975903614458
2013-10-13,114.60975609756098
2013-10-14,128.65822784810126
2013-10-15,124.96428571428571
2013-10-16,125.44578313253012
2013-10-17,140.10843373493975
2013-10-18,110.66265060240964
2013-10-19,115.14634146341463
2013-10-20,110.30952380952381
2013-10-21,143.57831325301206
2013-10-22,115.03571428571429
2013-10-23,111.85
2013-10-24,116.96428571428571
2013-10-25,110.78313253012048
2013-10-26,113.65
2013-10-30,103.66666666666667
2013-10-31,94.26506024096386
2013-11-01,107.24096385542168
2013-11-02,105.41666666666667
2013-11-03,95.90361445783132
2013-11-04,114.4578313253012
2013-11-05,134.7012987012987
2013-11-10,138.46341463414635
2013-11-11,49.51190476190476
2013-11-12,88.07407407407408
2013-11-13,75.70731707317073
2013-11-14,49.26829268292683
2013-11-15,257.6385542168675
2013-11-16,186.75641025641025
2013-11-17,92.76829268292683
2013-11-18,32.01315789473684
2013-11-19,80.61538461538461
2013-11-20,88.39024390243902
2013-11-21,98.19277108433735
2013-11-22,123.73809523809524
2013-11-23,27.443037974683545
2013-11-24,32.2289156626506
2013-11-25,41.01219512195122
2013-11-26,24.795180722891565
2013-11-27,18.641975308641975
2013-11-28,25.341463414634145
2013-11-29,19.329268292682926
2013-11-30,16.132530120481928
2013-12-01,22.3855421686747
2013-12-02,9.285714285714286
2013-12-03,18.333333333333332
2013-12-04,29.976190476190474
2013-12-05,-7.192771084337349
2013-12-06,13.238095238095237
2013-12-07,27.337349397590362
2013-12-08,28.03614457831325
2013-12-09,17.023809523809526
2013-12-10,12.107142857142858
2013-12-11,8.512195121951219
2013-12-12,24.819277108433734
2013-12-13,10.855421686746988
2013-12-14,33.75
2013-12-15,2.7023809523809526
2013-12-16,26.156626506024097
2013-12-17,42.0
2013-12-18,5.976190476190476
2013-12-19,14.297619047619047
2013-12-20,80.21686746987952
2013-12-21,1.4146341463414633
2013-12-22,22.535714285714285
2013-12-23,-7.071428571428571
2013-12-24,-13.265060240963855
2013-12-25,8.46987951807229
2013-12-26,14.488095238095237
2013-12-27,21.457831325301203
2013-12-28,102.83333333333333
2013-12-29,18.50602409638554
2013-12-30,28.666666666666668
2013-12-31,-0.43373493975903615
2014-01-01,38.109756097560975
2014-01-02,6.75
2014-01-03,-18.3855421686747
2014-01-04,11.180722891566266
2014-01-05,21.964285714285715
2014-01-06,6.759036144578313
2014-01-07,57.06024096385542
2014-01-08,7.542168674698795
2014-01-09,39.1625
2014-01-10,5.380952380952381
2014-01-11,11.369047619047619
2014-01-12,42.714285714285715
2014-01-13,15.864197530864198
2014-01-14,11.869047619047619
2014-01-15,14.44578313253012
2014-01-16,33.81707317073171
2014-01-17,12.08641975308642
2014-01-18,45.583333333333336
2014-01-19,115.19277108433735
2014-01-20,6.654761904761905
2014-01-21,12.879518072289157
2014-01-22,10.180722891566266
2014-01-23,23.10843373493976
2014-01-24,-6.369047619047619
2014-01-25,9.0
2014-01-26,14.518072289156626
2014-01-27,45.11904761904762
2014-01-28,15.048192771084338
2014-01-29,-12.761904761904763
2014-01-30,8.182926829268293
2014-01-31,22.879518072289155
2014-02-01,3.36144578313253
2014-02-02,8.714285714285714
2014-02-03,7.345679012345679
2014-02-04,8.797619047619047
2014-02-05,16.879518072289155
2014-02-06,11.072289156626505
2014-02-07,0.8313253012048193
2014-02-08,21.602409638554217
2014-02-09,6.2317073170731705
2014-02-10,33.963855421686745
2014-02-11,16.426829268292682
2014-02-12,23.49397590361446
2014-02-13,10.975609756097562
2014-02-14,25.44047619047619
2014-02-15,9.804878048780488
2014-02-16,21.48148148148148
2014-02-17,12.650602409638553
2014-02-18,45.89156626506024
2014-02-19,-0.9761904761904762
2014-02-20,9.283950617283951
2014-02-21,18.702380952380953
2014-02-22,13.060975609756097
2014-02-23,28.488095238095237
2014-02-24,30.36144578313253
